year,academic_type,source_type,source_of_fund,students,Forecasted_Students
2019,OPT,U.S.,Current Employment,223539,
2019,OPT,U.S.,U.S. College or University,0,
2019,OPT,U.S.,U.S. Government,0,
2019,OPT,U.S.,U.S. Private Sponsor,0,
2019,OPT,Other,Other Sources,0,
2020,Undergraduate,International,Personal and Family,299703,
2020,Undergraduate,International,Foreign Government or University,14391,
2020,Undergraduate,International,Foreign Private Sponsor,1799,
2020,Undergraduate,International,International Organization,360,
2020,Undergraduate,U.S.,Current Employment,360,
2020,Undergraduate,U.S.,U.S. College or University,35259,
2020,Undergraduate,U.S.,U.S. Government,360,
2020,Undergraduate,U.S.,U.S. Private Sponsor,1439,
2020,Undergraduate,Other,Other Sources,6116,
2020,Graduate,International,Personal and Family,174843,
2020,Graduate,International,Foreign Government or University,7903,
2020,Graduate,International,Foreign Private Sponsor,2305,
2020,Graduate,International,International Organization,329,
2020,Graduate,U.S.,Current Employment,3293,
2020,Graduate,U.S.,U.S. College or University,132367,
2020,Graduate,U.S.,U.S. Government,659,
2020,Graduate,U.S.,U.S. Private Sponsor,329,
2020,Graduate,Other,Other Sources,7244,
2020,Non-Degree,International,Personal and Family,19755,
2020,Non-Degree,International,Foreign Government or University,613,
2020,Non-Degree,International,Foreign Private Sponsor,169,
2020,Non-Degree,International,International Organization,0,
2020,Non-Degree,U.S.,Current Employment,21,
2020,Non-Degree,U.S.,U.S. College or University,381,
2020,Non-Degree,U.S.,U.S. Government,21,
2020,Non-Degree,U.S.,U.S. Private Sponsor,85,
2020,Non-Degree,Other,Other Sources,106,
2020,OPT,International,Personal and Family,0,
2020,OPT,International,Foreign Government or University,0,
2020,OPT,International,Foreign Private Sponsor,0,
2020,OPT,International,International Organization,0,
2020,OPT,U.S.,Current Employment,203885,
2020,OPT,U.S.,U.S. College or University,0,
2020,OPT,U.S.,U.S. Government,0,
2020,OPT,U.S.,U.S. Private Sponsor,0,
2020,OPT,Other,Other Sources,0,
2021,Undergraduate,International,Personal and Family,285961,
2021,Undergraduate,International,Foreign Government or University,11025,
2021,Undergraduate,International,Foreign Private Sponsor,2067,
2021,Undergraduate,International,International Organization,345,
2021,Undergraduate,U.S.,Current Employment,0,
2021,Undergraduate,U.S.,U.S. College or University,38588,
2021,Undergraduate,U.S.,U.S. Government,689,
2021,Undergraduate,U.S.,U.S. Private Sponsor,1378,
2021,Undergraduate,Other,Other Sources,4479,
2021,Graduate,International,Personal and Family,216810,
2021,Graduate,International,Foreign Government or University,8087,
2021,Graduate,International,Foreign Private Sponsor,2311,
2021,Graduate,International,International Organization,385,
2021,Graduate,U.S.,Current Employment,1925,
2021,Graduate,U.S.,U.S. College or University,148262,
2021,Graduate,U.S.,U.S. Government,770,
2021,Graduate,U.S.,U.S. Private Sponsor,385,
2021,Graduate,Other,Other Sources,6162,
2021,Non-Degree,International,Personal and Family,23312,
2021,Non-Degree,International,Foreign Government or University,3925,
2021,Non-Degree,International,Foreign Private Sponsor,239,
2021,Non-Degree,International,International Organization,34,
2021,Non-Degree,U.S.,Current Employment,956,
2021,Non-Degree,U.S.,U.S. College or University,4505,
2021,Non-Degree,U.S.,U.S. Government,512,
2021,Non-Degree,U.S.,U.S. Private Sponsor,102,
2021,Non-Degree,Other,Other Sources,546,
2021,OPT,International,Personal and Family,0,
2021,OPT,International,Foreign Government or University,0,
2021,OPT,International,Foreign Private Sponsor,0,
2021,OPT,International,International Organization,0,
2021,OPT,U.S.,Current Employment,184759,
2021,OPT,U.S.,U.S. College or University,0,
2021,OPT,U.S.,U.S. Government,0,
2021,OPT,U.S.,U.S. Private Sponsor,0,
2021,OPT,Other,Other Sources,0,
2022,Undergraduate,International,Personal and Family,287467,
2022,Undergraduate,International,Foreign Government or University,10776,
2022,Undergraduate,International,Foreign Private Sponsor,4866,
2022,Undergraduate,International,International Organization,0,
2022,Undergraduate,U.S.,Current Employment,0,
2022,Undergraduate,U.S.,U.S. College or University,37541,
2022,Undergraduate,U.S.,U.S. Government,348,
2022,Undergraduate,U.S.,U.S. Private Sponsor,1738,
2022,Undergraduate,Other,Other Sources,4866,
2022,Graduate,International,Personal and Family,283487,
2022,Graduate,International,Foreign Government or University,7472,
2022,Graduate,International,Foreign Private Sponsor,2335,
2022,Graduate,International,International Organization,467,
2022,Graduate,U.S.,Current Employment,2335,
2022,Graduate,U.S.,U.S. College or University,163459,
2022,Graduate,U.S.,U.S. Government,934,
2022,Graduate,U.S.,U.S. Private Sponsor,467,
2022,Graduate,Other,Other Sources,6071,
2022,Non-Degree,International,Personal and Family,30504,
2022,Non-Degree,International,Foreign Government or University,4858,
2022,Non-Degree,International,Foreign Private Sponsor,219,
2022,Non-Degree,International,International Organization,44,
2022,Non-Degree,U.S.,Current Employment,131,
2022,Non-Degree,U.S.,U.S. College or University,6609,
2022,Non-Degree,U.S.,U.S. Government,394,
2022,Non-Degree,U.S.,U.S. Private Sponsor,175,
2022,Non-Degree,Other,Other Sources,832,
2022,OPT,International,Personal and Family,0,
2022,OPT,International,Foreign Government or University,0,
2022,OPT,International,Foreign Private Sponsor,0,
2022,OPT,International,International Organization,0,
2022,OPT,U.S.,Current Employment,198793,
2022,OPT,U.S.,U.S. College or University,0,
2022,OPT,U.S.,U.S. Government,0,
2022,OPT,U.S.,U.S. Private Sponsor,0,
2022,OPT,Other,Other Sources,0,
2023,Graduate,U.S.,Current Employment,,1789
2023,Graduate,International,Foreign Government or University,,7361
2023,Graduate,International,Foreign Private Sponsor,,2151
2023,Graduate,International,International Organization,,639
2023,Graduate,Other,Other Sources,,6673
2023,Graduate,International,Personal and Family,,290503
2023,Graduate,U.S.,U.S. College or University,,163275
2023,Graduate,U.S.,U.S. Government,,859
2023,Graduate,U.S.,U.S. Private Sponsor,,565
2023,Non-Degree,U.S.,Current Employment,,461
2023,Non-Degree,International,Foreign Government or University,,3125
2023,Non-Degree,International,Foreign Private Sponsor,,1189
2023,Non-Degree,International,International Organization,,0
2023,Non-Degree,Other,Other Sources,,716
2023,Non-Degree,International,Personal and Family,,28357
2023,Non-Degree,U.S.,U.S. College or University,,4507
2023,Non-Degree,U.S.,U.S. Government,,463
2023,Non-Degree,U.S.,U.S. Private Sponsor,,425
2023,OPT,U.S.,Current Employment,,205138
2023,OPT,International,Foreign Government or University,,0
2023,OPT,International,Foreign Private Sponsor,,0
2023,OPT,International,International Organization,,0
2023,OPT,Other,Other Sources,,0
2023,OPT,International,Personal and Family,,0
2023,OPT,U.S.,U.S. College or University,,0
2023,OPT,U.S.,U.S. Government,,0
2023,OPT,U.S.,U.S. Private Sponsor,,0
2023,Undergraduate,U.S.,Current Employment,,0
2023,Undergraduate,International,Foreign Government or University,,7168
2023,Undergraduate,International,Foreign Private Sponsor,,5142
2023,Undergraduate,International,International Organization,,155
2023,Undergraduate,Other,Other Sources,,3480
2023,Undergraduate,International,Personal and Family,,282595
2023,Undergraduate,U.S.,U.S. College or University,,37376
2023,Undergraduate,U.S.,U.S. Government,,451
2023,Undergraduate,U.S.,U.S. Private Sponsor,,1835
2024,Graduate,U.S.,Current Employment,,2466
2024,Graduate,International,Foreign Government or University,,8038
2024,Graduate,International,Foreign Private Sponsor,,1987
2024,Graduate,International,International Organization,,654
2024,Graduate,Other,Other Sources,,6849
2024,Graduate,International,Personal and Family,,291627
2024,Graduate,U.S.,U.S. College or University,,163526
2024,Graduate,U.S.,U.S. Government,,896
2024,Graduate,U.S.,U.S. Private Sponsor,,356
2024,Non-Degree,U.S.,Current Employment,,445
2024,Non-Degree,International,Foreign Government or University,,4593
2024,Non-Degree,International,Foreign Private Sponsor,,436
2024,Non-Degree,International,International Organization,,94
2024,Non-Degree,Other,Other Sources,,509
2024,Non-Degree,International,Personal and Family,,26713
2024,Non-Degree,U.S.,U.S. College or University,,4172
2024,Non-Degree,U.S.,U.S. Government,,706
2024,Non-Degree,U.S.,U.S. Private Sponsor,,401
2024,OPT,U.S.,Current Employment,,211514
2024,OPT,International,Foreign Government or University,,0
2024,OPT,International,Foreign Private Sponsor,,0
2024,OPT,International,International Organization,,0
2024,OPT,Other,Other Sources,,0
2024,OPT,International,Personal and Family,,0
2024,OPT,U.S.,U.S. College or University,,0
2024,OPT,U.S.,U.S. Government,,0
2024,OPT,U.S.,U.S. Private Sponsor,,0
2024,Undergraduate,U.S.,Current Employment,,5
2024,Undergraduate,International,Foreign Government or University,,4903
2024,Undergraduate,International,Foreign Private Sponsor,,4113
2024,Undergraduate,International,International Organization,,58
2024,Undergraduate,Other,Other Sources,,3742
2024,Undergraduate,International,Personal and Family,,277947
2024,Undergraduate,U.S.,U.S. College or University,,36904
2024,Undergraduate,U.S.,U.S. Government,,473
2024,Undergraduate,U.S.,U.S. Private Sponsor,,1780
2025,Graduate,U.S.,Current Employment,,2929
2025,Graduate,International,Foreign Government or University,,7806
2025,Graduate,International,Foreign Private Sponsor,,1851
2025,Graduate,International,International Organization,,619
2025,Graduate,Other,Other Sources,,6768
2025,Graduate,International,Personal and Family,,288936
2025,Graduate,U.S.,U.S. College or University,,163799
2025,Graduate,U.S.,U.S. Government,,907
2025,Graduate,U.S.,U.S. Private Sponsor,,192
2025,Non-Degree,U.S.,Current Employment,,320
2025,Non-Degree,International,Foreign Government or University,,7697
2025,Non-Degree,International,Foreign Private Sponsor,,842
2025,Non-Degree,International,International Organization,,0
2025,Non-Degree,Other,Other Sources,,1053
2025,Non-Degree,International,Personal and Family,,29001
2025,Non-Degree,U.S.,U.S. College or University,,3927
2025,Non-Degree,U.S.,U.S. Government,,543
2025,Non-Degree,U.S.,U.S. Private Sponsor,,199
2025,OPT,U.S.,Current Employment,,214000
2025,OPT,International,Foreign Government or University,,0
2025,OPT,International,Foreign Private Sponsor,,0
2025,OPT,International,International Organization,,0
2025,OPT,Other,Other Sources,,0
2025,OPT,International,Personal and Family,,0
2025,OPT,U.S.,U.S. College or University,,0
2025,OPT,U.S.,U.S. Government,,0
2025,OPT,U.S.,U.S. Private Sponsor,,0
2025,Undergraduate,U.S.,Current Employment,,162
2025,Undergraduate,International,Foreign Government or University,,2029
2025,Undergraduate,International,Foreign Private Sponsor,,1524
2025,Undergraduate,International,International Organization,,157
2025,Undergraduate,Other,Other Sources,,5373
2025,Undergraduate,International,Personal and Family,,274221
2025,Undergraduate,U.S.,U.S. College or University,,38160
2025,Undergraduate,U.S.,U.S. Government,,489
2025,Undergraduate,U.S.,U.S. Private Sponsor,,1698
2026,Graduate,U.S.,Current Employment,,2589
2026,Graduate,International,Foreign Government or University,,8069
2026,Graduate,International,Foreign Private Sponsor,,1834
2026,Graduate,International,International Organization,,510
2026,Graduate,Other,Other Sources,,6746
2026,Graduate,International,Personal and Family,,284313
2026,Graduate,U.S.,U.S. College or University,,163776
2026,Graduate,U.S.,U.S. Government,,895
2026,Graduate,U.S.,U.S. Private Sponsor,,240
2026,Non-Degree,U.S.,Current Employment,,172
2026,Non-Degree,International,Foreign Government or University,,5428
2026,Non-Degree,International,Foreign Private Sponsor,,416
2026,Non-Degree,International,International Organization,,0
2026,Non-Degree,Other,Other Sources,,437
2026,Non-Degree,International,Personal and Family,,29522
2026,Non-Degree,U.S.,U.S. College or University,,5244
2026,Non-Degree,U.S.,U.S. Government,,601
2026,Non-Degree,U.S.,U.S. Private Sponsor,,131
2026,OPT,U.S.,Current Employment,,212864
2026,OPT,International,Foreign Government or University,,0
2026,OPT,International,Foreign Private Sponsor,,0
2026,OPT,International,International Organization,,0
2026,OPT,Other,Other Sources,,0
2026,OPT,International,Personal and Family,,0
2026,OPT,U.S.,U.S. College or University,,0
2026,OPT,U.S.,U.S. Government,,0
2026,OPT,U.S.,U.S. Private Sponsor,,0
2026,Undergraduate,U.S.,Current Employment,,216
2026,Undergraduate,International,Foreign Government or University,,0
2026,Undergraduate,International,Foreign Private Sponsor,,1808
2026,Undergraduate,International,International Organization,,80
2026,Undergraduate,Other,Other Sources,,4661
2026,Undergraduate,International,Personal and Family,,272669
2026,Undergraduate,U.S.,U.S. College or University,,37048
2026,Undergraduate,U.S.,U.S. Government,,445
2026,Undergraduate,U.S.,U.S. Private Sponsor,,1790
2027,Graduate,U.S.,Current Employment,,2412
2027,Graduate,International,Foreign Government or University,,8359
2027,Graduate,International,Foreign Private Sponsor,,1780
2027,Graduate,International,International Organization,,442
2027,Graduate,Other,Other Sources,,6787
2027,Graduate,International,Personal and Family,,288443
2027,Graduate,U.S.,U.S. College or University,,163484
2027,Graduate,U.S.,U.S. Government,,897
2027,Graduate,U.S.,U.S. Private Sponsor,,335
2027,Non-Degree,U.S.,Current Employment,,603
2027,Non-Degree,International,Foreign Government or University,,6779
2027,Non-Degree,International,Foreign Private Sponsor,,780
2027,Non-Degree,International,International Organization,,35
2027,Non-Degree,Other,Other Sources,,527
2027,Non-Degree,International,Personal and Family,,28547
2027,Non-Degree,U.S.,U.S. College or University,,4823
2027,Non-Degree,U.S.,U.S. Government,,625
2027,Non-Degree,U.S.,U.S. Private Sponsor,,206
2027,OPT,U.S.,Current Employment,,212295
2027,OPT,International,Foreign Government or University,,0
2027,OPT,International,Foreign Private Sponsor,,0
2027,OPT,International,International Organization,,0
2027,OPT,Other,Other Sources,,0
2027,OPT,International,Personal and Family,,0
2027,OPT,U.S.,U.S. College or University,,0
2027,OPT,U.S.,U.S. Government,,0
2027,OPT,U.S.,U.S. Private Sponsor,,0
2027,Undergraduate,U.S.,Current Employment,,128
2027,Undergraduate,International,Foreign Government or University,,0
2027,Undergraduate,International,Foreign Private Sponsor,,2740
2027,Undergraduate,International,International Organization,,113
2027,Undergraduate,Other,Other Sources,,4650
2027,Undergraduate,International,Personal and Family,,272011
2027,Undergraduate,U.S.,U.S. College or University,,37445
2027,Undergraduate,U.S.,U.S. Government,,449
2027,Undergraduate,U.S.,U.S. Private Sponsor,,1842
2028,Graduate,U.S.,Current Employment,,2026
2028,Graduate,International,Foreign Government or University,,8131
2028,Graduate,International,Foreign Private Sponsor,,1701
2028,Graduate,International,International Organization,,430
2028,Graduate,Other,Other Sources,,6827
2028,Graduate,International,Personal and Family,,290298
2028,Graduate,U.S.,U.S. College or University,,163499
2028,Graduate,U.S.,U.S. Government,,899
2028,Graduate,U.S.,U.S. Private Sponsor,,335
2028,Non-Degree,U.S.,Current Employment,,202
2028,Non-Degree,International,Foreign Government or University,,8274
2028,Non-Degree,International,Foreign Private Sponsor,,393
2028,Non-Degree,International,International Organization,,0
2028,Non-Degree,Other,Other Sources,,719
2028,Non-Degree,International,Personal and Family,,28657
2028,Non-Degree,U.S.,U.S. College or University,,4218
2028,Non-Degree,U.S.,U.S. Government,,467
2028,Non-Degree,U.S.,U.S. Private Sponsor,,341
2028,OPT,U.S.,Current Employment,,211603
2028,OPT,International,Foreign Government or University,,0
2028,OPT,International,Foreign Private Sponsor,,0
2028,OPT,International,International Organization,,0
2028,OPT,Other,Other Sources,,0
2028,OPT,International,Personal and Family,,0
2028,OPT,U.S.,U.S. College or University,,0
2028,OPT,U.S.,U.S. Government,,0
2028,OPT,U.S.,U.S. Private Sponsor,,0
2028,Undergraduate,U.S.,Current Employment,,90
2028,Undergraduate,International,Foreign Government or University,,0
2028,Undergraduate,International,Foreign Private Sponsor,,4467
2028,Undergraduate,International,International Organization,,94
2028,Undergraduate,Other,Other Sources,,4364
2028,Undergraduate,International,Personal and Family,,271164
2028,Undergraduate,U.S.,U.S. College or University,,37316
2028,Undergraduate,U.S.,U.S. Government,,474
2028,Undergraduate,U.S.,U.S. Private Sponsor,,1803
2029,Graduate,U.S.,Current Employment,,2162
2029,Graduate,International,Foreign Government or University,,8337
2029,Graduate,International,Foreign Private Sponsor,,1616
2029,Graduate,International,International Organization,,485
2029,Graduate,Other,Other Sources,,6831
2029,Graduate,International,Personal and Family,,290190
2029,Graduate,U.S.,U.S. College or University,,163491
2029,Graduate,U.S.,U.S. Government,,896
2029,Graduate,U.S.,U.S. Private Sponsor,,147
2029,Non-Degree,U.S.,Current Employment,,393
2029,Non-Degree,International,Foreign Government or University,,6992
2029,Non-Degree,International,Foreign Private Sponsor,,845
2029,Non-Degree,International,International Organization,,20
2029,Non-Degree,Other,Other Sources,,714
2029,Non-Degree,International,Personal and Family,,29106
2029,Non-Degree,U.S.,U.S. College or University,,4547
2029,Non-Degree,U.S.,U.S. Government,,551
2029,Non-Degree,U.S.,U.S. Private Sponsor,,341
2029,OPT,U.S.,Current Employment,,211483
2029,OPT,International,Foreign Government or University,,0
2029,OPT,International,Foreign Private Sponsor,,0
2029,OPT,International,International Organization,,0
2029,OPT,Other,Other Sources,,0
2029,OPT,International,Personal and Family,,0
2029,OPT,U.S.,U.S. College or University,,0
2029,OPT,U.S.,U.S. Government,,0
2029,OPT,U.S.,U.S. Private Sponsor,,0
2029,Undergraduate,U.S.,Current Employment,,53
2029,Undergraduate,International,Foreign Government or University,,0
2029,Undergraduate,International,Foreign Private Sponsor,,3969
2029,Undergraduate,International,International Organization,,107
2029,Undergraduate,Other,Other Sources,,3830
2029,Undergraduate,International,Personal and Family,,270512
2029,Undergraduate,U.S.,U.S. College or University,,37647
2029,Undergraduate,U.S.,U.S. Government,,464
2029,Undergraduate,U.S.,U.S. Private Sponsor,,1757
2030,Graduate,U.S.,Current Employment,,2555
2030,Graduate,International,Foreign Government or University,,8345
2030,Graduate,International,Foreign Private Sponsor,,1560
2030,Graduate,International,International Organization,,551
2030,Graduate,Other,Other Sources,,6820
2030,Graduate,International,Personal and Family,,290636
2030,Graduate,U.S.,U.S. College or University,,163488
2030,Graduate,U.S.,U.S. Government,,897
2030,Graduate,U.S.,U.S. Private Sponsor,,104
2030,Non-Degree,U.S.,Current Employment,,428
2030,Non-Degree,International,Foreign Government or University,,6576
2030,Non-Degree,International,Foreign Private Sponsor,,512
2030,Non-Degree,International,International Organization,,10
2030,Non-Degree,Other,Other Sources,,405
2030,Non-Degree,International,Personal and Family,,28933
2030,Non-Degree,U.S.,U.S. College or University,,4645
2030,Non-Degree,U.S.,U.S. Government,,504
2030,Non-Degree,U.S.,U.S. Private Sponsor,,239
2030,OPT,U.S.,Current Employment,,211642
2030,OPT,International,Foreign Government or University,,0
2030,OPT,International,Foreign Private Sponsor,,0
2030,OPT,International,International Organization,,0
2030,OPT,Other,Other Sources,,0
2030,OPT,International,Personal and Family,,0
2030,OPT,U.S.,U.S. College or University,,0
2030,OPT,U.S.,U.S. Government,,0
2030,OPT,U.S.,U.S. Private Sponsor,,0
2030,Undergraduate,U.S.,Current Employment,,41
2030,Undergraduate,International,Foreign Government or University,,0
2030,Undergraduate,International,Foreign Private Sponsor,,3537
2030,Undergraduate,International,International Organization,,102
2030,Undergraduate,Other,Other Sources,,4719
2030,Undergraduate,International,Personal and Family,,270119
2030,Undergraduate,U.S.,U.S. College or University,,37132
2030,Undergraduate,U.S.,U.S. Government,,456
2030,Undergraduate,U.S.,U.S. Private Sponsor,,1787
2031,Graduate,U.S.,Current Employment,,2667
2031,Graduate,International,Foreign Government or University,,8201
2031,Graduate,International,Foreign Private Sponsor,,1530
2031,Graduate,International,International Organization,,591
2031,Graduate,Other,Other Sources,,6823
2031,Graduate,International,Personal and Family,,290047
2031,Graduate,U.S.,U.S. College or University,,163482
2031,Graduate,U.S.,U.S. Government,,897
2031,Graduate,U.S.,U.S. Private Sponsor,,141
2031,Non-Degree,U.S.,Current Employment,,350
2031,Non-Degree,International,Foreign Government or University,,8118
2031,Non-Degree,International,Foreign Private Sponsor,,751
2031,Non-Degree,International,International Organization,,0
2031,Non-Degree,Other,Other Sources,,950
2031,Non-Degree,International,Personal and Family,,28773
2031,Non-Degree,U.S.,U.S. College or University,,4727
2031,Non-Degree,U.S.,U.S. Government,,469
2031,Non-Degree,U.S.,U.S. Private Sponsor,,181
2031,OPT,U.S.,Current Employment,,211737
2031,OPT,International,Foreign Government or University,,0
2031,OPT,International,Foreign Private Sponsor,,0
2031,OPT,International,International Organization,,0
2031,OPT,Other,Other Sources,,0
2031,OPT,International,Personal and Family,,0
2031,OPT,U.S.,U.S. College or University,,0
2031,OPT,U.S.,U.S. Government,,0
2031,OPT,U.S.,U.S. Private Sponsor,,0
2031,Undergraduate,U.S.,Current Employment,,90
2031,Undergraduate,International,Foreign Government or University,,0
2031,Undergraduate,International,Foreign Private Sponsor,,2441
2031,Undergraduate,International,International Organization,,102
2031,Undergraduate,Other,Other Sources,,4734
2031,Undergraduate,International,Personal and Family,,269891
2031,Undergraduate,U.S.,U.S. College or University,,37528
2031,Undergraduate,U.S.,U.S. Government,,459
2031,Undergraduate,U.S.,U.S. Private Sponsor,,1818
2032,Graduate,U.S.,Current Employment,,2590
2032,Graduate,International,Foreign Government or University,,8339
2032,Graduate,International,Foreign Private Sponsor,,1490
2032,Graduate,International,International Organization,,580
2032,Graduate,Other,Other Sources,,6831
2032,Graduate,International,Personal and Family,,289958
2032,Graduate,U.S.,U.S. College or University,,163488
2032,Graduate,U.S.,U.S. Government,,897
2032,Graduate,U.S.,U.S. Private Sponsor,,232
2032,Non-Degree,U.S.,Current Employment,,281
2032,Non-Degree,International,Foreign Government or University,,6666
2032,Non-Degree,International,Foreign Private Sponsor,,471
2032,Non-Degree,International,International Organization,,21
2032,Non-Degree,Other,Other Sources,,600
2032,Non-Degree,International,Personal and Family,,28893
2032,Non-Degree,U.S.,U.S. College or University,,4501
2032,Non-Degree,U.S.,U.S. Government,,548
2032,Non-Degree,U.S.,U.S. Private Sponsor,,223
2032,OPT,U.S.,Current Employment,,211822
2032,OPT,International,Foreign Government or University,,0
2032,OPT,International,Foreign Private Sponsor,,0
2032,OPT,International,International Organization,,0
2032,OPT,Other,Other Sources,,0
2032,OPT,International,Personal and Family,,0
2032,OPT,U.S.,U.S. College or University,,0
2032,OPT,U.S.,U.S. Government,,0
2032,OPT,U.S.,U.S. Private Sponsor,,0
2032,Undergraduate,U.S.,Current Employment,,132
2032,Undergraduate,International,Foreign Government or University,,0
2032,Undergraduate,International,Foreign Private Sponsor,,2828
2032,Undergraduate,International,International Organization,,102
2032,Undergraduate,Other,Other Sources,,4500
2032,Undergraduate,International,Personal and Family,,269740
2032,Undergraduate,U.S.,U.S. College or University,,37346
2032,Undergraduate,U.S.,U.S. Government,,465
2032,Undergraduate,U.S.,U.S. Private Sponsor,,1803
